date,product_code,action,amount,shares,fee,nav,nav_date,note
2025-07-18,163406,buy,99.88 ,61.37 ,0.12 ,1.6274 ,2025-07-17,兴全合润混合(LOF)A
2025-07-22,163406,buy,99.88 ,60.50 ,0.12 ,1.6508 ,2025-07-21,兴全合润混合(LOF)A
2025-07-29,163406,buy,99.88 ,59.97 ,0.12 ,1.6655 ,2025-07-28,兴全合润混合(LOF)A
2025-08-12,163406,buy,99.88 ,58.92 ,0.12 ,1.6953 ,2025-08-11,兴全合润混合(LOF)A
2025-08-19,163406,buy,224.73 ,126.98 ,0.27 ,1.7698 ,2025-08-18,兴全合润混合(LOF)A
2025-08-26,163406,buy,224.73 ,118.91 ,0.27 ,1.8899 ,2025-08-25,兴全合润混合(LOF)A
2025-09-04,163406,buy,224.73 ,115.42 ,0.27 ,1.9471 ,2025-09-03,兴全合润混合(LOF)A
2025-09-09,163406,buy,224.73 ,115.14 ,0.27 ,1.9518 ,2025-09-08,兴全合润混合(LOF)A
2025-09-16,163406,buy,324.61 ,160.29 ,0.39 ,2.0251 ,2025-09-15,兴全合润混合(LOF)A
2025-09-23,163406,buy,324.61 ,156.22 ,0.39 ,2.0779 ,2025-09-22,兴全合润混合(LOF)A
2025-09-30,163406,buy,324.61 ,151.19 ,0.39 ,2.1470 ,2025-09-29,兴全合润混合(LOF)A
2025-10-14,163406,buy,324.61 ,157.19 ,0.39 ,2.0651 ,2025-10-13,兴全合润混合(LOF)A
2025-10-21,163406,buy,89.89 ,45.25 ,0.11 ,1.9864 ,2025-10-20,兴全合润混合(LOF)A
2025-10-31,163406,buy,89.89 ,42.57 ,0.11 ,2.1118 ,2025-10-30,兴全合润混合(LOF)A
2025-11-07,163406,buy,89.89 ,43.52 ,0.11 ,2.0655 ,2025-11-06,兴全合润混合(LOF)A
2025-11-14,163406,buy,89.89 ,43.73 ,0.11 ,2.0555 ,2025-11-13,兴全合润混合(LOF)A
2025-11-21,163406,buy,89.89 ,45.46 ,0.11 ,1.9774 ,2025-11-20,兴全合润混合(LOF)A
2025-12-05,163406,sell,1046.40 ,520.88 ,5.26 ,2.0190 ,2025-12-04,兴全合润混合(LOF)A
2025-12-10,163406,sell,809.36 ,390.66 ,4.07 ,2.0822 ,2025-12-09,兴全合润混合(LOF)A
2025-10-31,019767,buy,49.94 ,25.35 ,0.06 ,1.9699 ,2025-10-30,景顺长城科创50指数增强A
2025-11-07,019767,buy,59.93 ,30.90 ,0.07 ,1.9397 ,2025-11-06,景顺长城科创50指数增强A
2025-11-14,019767,buy,59.93 ,31.65 ,0.07 ,1.8934 ,2025-11-13,景顺长城科创50指数增强A
2025-11-21,019767,buy,69.92 ,38.72 ,0.08 ,1.8057 ,2025-11-20,景顺长城科创50指数增强A
2025-11-28,019767,buy,69.92 ,39.11 ,0.08 ,1.7880 ,2025-11-27,景顺长城科创50指数增强A
2025-12-05,019767,buy,59.93 ,33.17 ,0.07 ,1.8068 ,2025-12-04,景顺长城科创50指数增强A
2025-12-12,019767,buy,49.94 ,27.57 ,0.06 ,1.8114 ,2025-12-11,景顺长城科创50指数增强A
2025-10-21,000307,buy,139.90 ,43.62 ,0.10 ,3.2075 ,2025-10-20,易方达黄金ETF联接A
2025-10-31,000307,buy,111.92 ,37.47 ,0.08 ,2.9866 ,2025-10-30,易方达黄金ETF联接A
2025-11-07,000307,buy,125.91 ,41.67 ,0.09 ,3.0214 ,2025-11-06,易方达黄金ETF联接A
2025-11-14,000307,buy,125.91 ,39.90 ,0.09 ,3.1556 ,2025-11-13,易方达黄金ETF联接A
2025-11-21,000307,buy,125.91 ,41.12 ,0.09 ,3.0621 ,2025-11-20,易方达黄金ETF联接A
2025-11-28,000307,buy,125.91 ,40.54 ,0.09 ,3.1062 ,2025-11-27,易方达黄金ETF联接A
2025-12-05,000307,buy,125.91 ,40.30 ,0.09 ,3.1242 ,2025-12-04,易方达黄金ETF联接A
2025-12-12,000307,buy,125.91 ,40.17 ,0.09 ,3.1341 ,2025-12-11,易方达黄金ETF联接A
2025-10-31,013308,buy,79.95 ,53.72 ,0.05 ,1.4884 ,2025-10-30,易方达恒生科技ETF联接(QDII)A
2025-11-07,013308,buy,79.95 ,54.70 ,0.05 ,1.4617 ,2025-11-06,易方达恒生科技ETF联接(QDII)A
2025-11-14,013308,buy,79.95 ,54.36 ,0.05 ,1.4707 ,2025-11-13,易方达恒生科技ETF联接(QDII)A
2025-11-21,013308,buy,79.95 ,58.18 ,0.05 ,1.3741 ,2025-11-20,易方达恒生科技ETF联接(QDII)A
2025-11-28,013308,buy,79.95 ,58.02 ,0.05 ,1.3779 ,2025-11-27,易方达恒生科技ETF联接(QDII)A
2025-12-05,013308,buy,79.95 ,57.93 ,0.05 ,1.3802 ,2025-12-04,易方达恒生科技ETF联接(QDII)A
2025-12-12,013308,buy,79.95 ,58.75 ,0.05 ,1.3608 ,2025-12-11,易方达恒生科技ETF联接(QDII)A
2025-10-21,020602,buy,99.88 ,88.93 ,0.12 ,1.1231 ,2025-10-20,易方达红利低波ETF联接A
2025-10-31,020602,buy,79.90 ,71.07 ,0.10 ,1.1243 ,2025-10-30,易方达红利低波ETF联接A
2025-11-07,020602,buy,79.90 ,69.65 ,0.10 ,1.1471 ,2025-11-06,易方达红利低波ETF联接A
2025-11-14,020602,buy,79.90 ,68.45 ,0.10 ,1.1673 ,2025-11-13,易方达红利低波ETF联接A
2025-11-21,020602,buy,79.90 ,69.25 ,0.10 ,1.1538 ,2025-11-20,易方达红利低波ETF联接A
2025-11-28,020602,buy,79.90 ,70.39 ,0.10 ,1.1351 ,2025-11-27,易方达红利低波ETF联接A
2025-12-05,020602,buy,79.90 ,70.64 ,0.10 ,1.1311 ,2025-12-04,易方达红利低波ETF联接A
2025-12-12,020602,buy,79.90 ,72.14 ,0.10 ,1.1075 ,2025-12-11,易方达红利低波ETF联接A
2025-12-15,020602,dividend,,5.85 ,,1.0951,2025-12-15,易方达红利低波ETF联接A
2025-10-22,012080,buy,189.72 ,162.35 ,0.28 ,1.1686 ,2025-10-21,易方达中证500指数量化增强A
2025-10-22,110020,buy,89.89 ,48.74 ,0.11 ,1.8442 ,2025-10-21,易方达沪深300ETF联接A
2025-12-16,161125,buy,9.99 ,3.42 ,0.01 ,2.9240 ,2025-12-12,易方达标普500指数(QDII-LOF)A
2025-12-15,161125,buy,9.99 ,3.38 ,0.01 ,2.9557 ,2025-12-11,易方达标普500指数(QDII-LOF)A
2025-12-12,161125,buy,9.99 ,3.38 ,0.01 ,2.9524 ,2025-12-10,易方达标普500指数(QDII-LOF)A
2025-12-11,161125,buy,9.99 ,3.40 ,0.01 ,2.9346 ,2025-12-09,易方达标普500指数(QDII-LOF)A
2025-12-10,161125,buy,9.99 ,3.40 ,0.01 ,2.9368 ,2025-12-08,易方达标普500指数(QDII-LOF)A
2025-12-09,161125,buy,9.99 ,3.39 ,0.01 ,2.9458 ,2025-12-05,易方达标普500指数(QDII-LOF)A
2025-12-08,161125,buy,9.99 ,3.40 ,0.01 ,2.9397 ,2025-12-04,易方达标普500指数(QDII-LOF)A
2025-12-05,161125,buy,9.99 ,3.40 ,0.01 ,2.9375 ,2025-12-03,易方达标普500指数(QDII-LOF)A
2025-12-04,161125,buy,9.99 ,3.41 ,0.01 ,2.9307 ,2025-12-02,易方达标普500指数(QDII-LOF)A
2025-12-03,161125,buy,9.99 ,3.42 ,0.01 ,2.9227 ,2025-12-01,易方达标普500指数(QDII-LOF)A
2025-12-02,161125,buy,9.99 ,3.40 ,0.01 ,2.9383 ,2025-11-28,易方达标普500指数(QDII-LOF)A
2025-11-28,161125,buy,9.99 ,3.42 ,0.01 ,2.9241 ,2025-11-26,易方达标普500指数(QDII-LOF)A
2025-11-27,161125,buy,9.99 ,3.44 ,0.01 ,2.9062 ,2025-11-25,易方达标普500指数(QDII-LOF)A
2025-11-26,161125,buy,9.99 ,3.47 ,0.01 ,2.8823 ,2025-11-24,易方达标普500指数(QDII-LOF)A
2025-11-25,161125,buy,9.99 ,3.52 ,0.01 ,2.8417 ,2025-11-21,易方达标普500指数(QDII-LOF)A
2025-11-24,161125,buy,9.99 ,3.55 ,0.01 ,2.8168 ,2025-11-20,易方达标普500指数(QDII-LOF)A
2025-11-17,161125,buy,9.99 ,3.45 ,0.01 ,2.8953 ,2025-11-13,易方达标普500指数(QDII-LOF)A
2025-11-10,161125,buy,9.99 ,3.46 ,0.01 ,2.8886 ,2025-11-06,易方达标普500指数(QDII-LOF)A
2025-11-03,161125,buy,99.88 ,34.09 ,0.12 ,2.9298 ,2025-10-30,易方达标普500指数(QDII-LOF)A
2025-10-22,161125,buy,99.88 ,34.45 ,0.12 ,2.8994 ,2025-10-20,易方达标普500指数(QDII-LOF)A
2025-12-16,161130,buy,9.99 ,2.52 ,0.01 ,3.9665,2025-12-12,易方达纳斯达克100指数(QDII-LOF)A
2025-12-15,161130,buy,9.99 ,2.47 ,0.01 ,4.0424,2025-12-11,易方达纳斯达克100指数(QDII-LOF)A
2025-12-12,161130,buy,9.99 ,2.46 ,0.01 ,4.0591,2025-12-10,易方达纳斯达克100指数(QDII-LOF)A
2025-12-11,161130,buy,9.99 ,2.47 ,0.01 ,4.0449,2025-12-09,易方达纳斯达克100指数(QDII-LOF)A
2025-12-10,161130,buy,9.99 ,2.47 ,0.01 ,4.0385,2025-12-08,易方达纳斯达克100指数(QDII-LOF)A
2025-12-09,161130,buy,9.99 ,2.47 ,0.01 ,4.0475,2025-12-05,易方达纳斯达克100指数(QDII-LOF)A
2025-12-08,161130,buy,9.99 ,2.48 ,0.01 ,4.0302,2025-12-04,易方达纳斯达克100指数(QDII-LOF)A
2025-12-05,161130,buy,9.99 ,2.48 ,0.01 ,4.0353,2025-12-03,易方达纳斯达克100指数(QDII-LOF)A
2025-12-04,161130,buy,9.99 ,2.48 ,0.01 ,4.0300,2025-12-02,易方达纳斯达克100指数(QDII-LOF)A
2025-12-03,161130,buy,9.99 ,2.50 ,0.01 ,3.9970,2025-12-01,易方达纳斯达克100指数(QDII-LOF)A
2025-12-02,161130,buy,9.99 ,2.49 ,0.01 ,3.9843,2025-11-27,易方达纳斯达克100指数(QDII-LOF)A
2025-11-28,161130,buy,9.99 ,2.51 ,0.01 ,3.9864,2025-11-26,易方达纳斯达克100指数(QDII-LOF)A
2025-11-27,161130,buy,9.99 ,2.53 ,0.01 ,3.9563,2025-11-25,易方达纳斯达克100指数(QDII-LOF)A
2025-11-26,161130,buy,9.99 ,2.54 ,0.01 ,3.9372,2025-11-24,易方达纳斯达克100指数(QDII-LOF)A
2025-11-25,161130,buy,9.99 ,2.60 ,0.01 ,3.8438,2025-11-21,易方达纳斯达克100指数(QDII-LOF)A
2025-11-24,161130,buy,9.99 ,2.62 ,0.01 ,3.8186,2025-11-20,易方达纳斯达克100指数(QDII-LOF)A
2025-11-21,161130,buy,9.99 ,2.56 ,0.01 ,3.9053,2025-11-19,易方达纳斯达克100指数(QDII-LOF)A
2025-11-20,161130,buy,9.99 ,2.57 ,0.01 ,3.8848,2025-11-18,易方达纳斯达克100指数(QDII-LOF)A
2025-11-19,161130,buy,9.99 ,2.54 ,0.01 ,3.9282,2025-11-17,易方达纳斯达克100指数(QDII-LOF)A
2025-11-18,161130,buy,9.99 ,2.52 ,0.01 ,3.9611,2025-11-14,易方达纳斯达克100指数(QDII-LOF)A
2025-11-17,161130,buy,9.99 ,2.52 ,0.01 ,3.9619,2025-11-13,易方达纳斯达克100指数(QDII-LOF)A
2025-11-14,161130,buy,9.99 ,2.47 ,0.01 ,4.0398,2025-11-12,易方达纳斯达克100指数(QDII-LOF)A
2025-11-13,161130,buy,9.99 ,2.47 ,0.01 ,4.0443,2025-11-11,易方达纳斯达克100指数(QDII-LOF)A
2025-11-12,161130,buy,9.99 ,2.46 ,0.01 ,4.0562,2025-11-10,易方达纳斯达克100指数(QDII-LOF)A
2025-11-11,161130,buy,9.99 ,2.51 ,0.01 ,3.9726,2025-11-07,易方达纳斯达克100指数(QDII-LOF)A
2025-11-10,161130,buy,9.99 ,2.51 ,0.01 ,3.9856,2025-11-06,易方达纳斯达克100指数(QDII-LOF)A
2025-11-07,161130,buy,9.99 ,2.46 ,0.01 ,4.0610,2025-11-05,易方达纳斯达克100指数(QDII-LOF)A
2025-11-06,161130,buy,9.99 ,2.48 ,0.01 ,4.0340,2025-11-04,易方达纳斯达克100指数(QDII-LOF)A
2025-11-05,161130,buy,29.96 ,7.28 ,0.04 ,4.1126,2025-11-03,易方达纳斯达克100指数(QDII-LOF)A
2025-11-04,161130,buy,29.96 ,7.31 ,0.04 ,4.0976,2025-10-31,易方达纳斯达克100指数(QDII-LOF)A
2025-11-03,161130,buy,29.96 ,7.35 ,0.04 ,4.0789,2025-10-30,易方达纳斯达克100指数(QDII-LOF)A
2025-10-31,161130,buy,29.96 ,7.24 ,0.04 ,4.1359,2025-10-29,易方达纳斯达克100指数(QDII-LOF)A
2025-10-30,161130,buy,29.96 ,7.27 ,0.04 ,4.1214,2025-10-28,易方达纳斯达克100指数(QDII-LOF)A
2025-10-29,161130,buy,29.96 ,7.32 ,0.04 ,4.0952,2025-10-27,易方达纳斯达克100指数(QDII-LOF)A
2025-10-28,161130,buy,29.96 ,7.43 ,0.04 ,4.0303,2025-10-24,易方达纳斯达克100指数(QDII-LOF)A
2025-10-27,161130,buy,29.96 ,7.51 ,0.04 ,3.9914,2025-10-23,易方达纳斯达克100指数(QDII-LOF)A
2025-10-24,161130,buy,29.96 ,7.56 ,0.04 ,3.9605,2025-10-22,易方达纳斯达克100指数(QDII-LOF)A
2025-10-23,161130,buy,29.96 ,7.50 ,0.04 ,3.9968,2025-10-21,易方达纳斯达克100指数(QDII-LOF)A
2025-10-22,161130,buy,29.96 ,7.49 ,0.04 ,4.0011,2025-10-20,易方达纳斯达克100指数(QDII-LOF)A
2025-11-27,019172,buy,29.96 ,19.21 ,0.04 ,1.5599,2025-11-25,摩根纳斯达克100指数(QDII)A
2025-11-28,019172,buy,29.96 ,19.08 ,0.04 ,1.5706,2025-11-26,摩根纳斯达克100指数(QDII)A
2025-12-02,019172,buy,9.99 ,6.32 ,0.01 ,1.5703,2025-11-27,摩根纳斯达克100指数(QDII)A
2025-12-03,019172,buy,9.99 ,6.34 ,0.01 ,1.5753,2025-12-01,摩根纳斯达克100指数(QDII)A
2025-12-04,019172,buy,9.99 ,6.30 ,0.01 ,1.5868,2025-12-02,摩根纳斯达克100指数(QDII)A
2025-12-05,019172,buy,9.99 ,6.29 ,0.01 ,1.5887,2025-12-03,摩根纳斯达克100指数(QDII)A
2025-12-08,019172,buy,9.99 ,6.29 ,0.01 ,1.5870,2025-12-04,摩根纳斯达克100指数(QDII)A
2025-12-09,019172,buy,9.99 ,6.27 ,0.01 ,1.5931,2025-12-05,摩根纳斯达克100指数(QDII)A
2025-12-10,019172,buy,9.99 ,6.28 ,0.01 ,1.5900,2025-12-08,摩根纳斯达克100指数(QDII)A
2025-12-11,019172,buy,69.92 ,43.91 ,0.08 ,1.5923,2025-12-09,摩根纳斯达克100指数(QDII)A
2025-12-11,019172,buy,29.96 ,18.82 ,0.04 ,1.5923,2025-12-09,摩根纳斯达克100指数(QDII)A
2025-12-12,019172,buy,99.88 ,62.62 ,0.12 ,1.5951,2025-12-10,摩根纳斯达克100指数(QDII)A
2025-12-15,019172,buy,99.88 ,62.72 ,0.12 ,1.5924,2025-12-11,摩根纳斯达克100指数(QDII)A
2025-12-16,019172,buy,99.88 ,63.28 ,0.12 ,1.5785,2025-12-12,摩根纳斯达克100指数(QDII)A
2025-11-17,017641,buy,99.88 ,64.00 ,0.12 ,1.5607,2025-11-13,摩根标普500指数(QDII)A
2025-11-24,017641,buy,9.99 ,6.56 ,0.01 ,1.5232,2025-11-20,摩根标普500指数(QDII)A
2025-11-25,017641,buy,9.99 ,6.51 ,0.01 ,1.5352,2025-11-21,摩根标普500指数(QDII)A
2025-11-26,017641,buy,9.99 ,6.43 ,0.01 ,1.5547,2025-11-24,摩根标普500指数(QDII)A
2025-11-27,017641,buy,9.99 ,6.38 ,0.01 ,1.5662,2025-11-25,摩根标普500指数(QDII)A
2025-11-28,017641,buy,9.99 ,6.34 ,0.01 ,1.5745,2025-11-26,摩根标普500指数(QDII)A
2025-12-02,017641,buy,9.99 ,6.32 ,0.01 ,1.5741,2025-11-27,摩根标普500指数(QDII)A
2025-12-03,017641,buy,9.99 ,6.35 ,0.01 ,1.5742,2025-12-01,摩根标普500指数(QDII)A
2025-12-04,017641,buy,9.99 ,6.33 ,0.01 ,1.5781,2025-12-02,摩根标普500指数(QDII)A
2025-12-05,017641,buy,9.99 ,6.32 ,0.01 ,1.5810,2025-12-03,摩根标普500指数(QDII)A
2025-12-08,017641,buy,9.99 ,6.32 ,0.01 ,1.5818,2025-12-04,摩根标普500指数(QDII)A
2025-12-09,017641,buy,9.99 ,6.30 ,0.01 ,1.5850,2025-12-05,摩根标普500指数(QDII)A
2025-12-10,017641,buy,9.99 ,6.32 ,0.01 ,1.5805,2025-12-08,摩根标普500指数(QDII)A
2025-12-11,017641,buy,89.89 ,56.91 ,0.11 ,1.5796,2025-12-09,摩根标普500指数(QDII)A
2025-12-11,017641,buy,9.99 ,6.32 ,0.01 ,1.5796,2025-12-09,摩根标普500指数(QDII)A
2025-12-12,017641,buy,99.88 ,62.97 ,0.12 ,1.5861,2025-12-10,摩根标普500指数(QDII)A
2025-12-15,017641,buy,99.88 ,62.93 ,0.12 ,1.5872,2025-12-11,摩根标普500指数(QDII)A
2025-12-16,017641,buy,99.88 ,63.44 ,0.12 ,1.5744,2025-12-12,摩根标普500指数(QDII)A
2025-12-04,016452,buy,99.88 ,47.88 ,0.12 ,2.0862,2025-12-02,南方纳斯达克100指数(QDII)A
2025-12-05,016452,buy,99.88 ,47.81 ,0.12 ,2.0891,2025-12-03,南方纳斯达克100指数(QDII)A
2025-12-08,016452,buy,99.88 ,47.87 ,0.12 ,2.0866,2025-12-04,南方纳斯达克100指数(QDII)A
2025-12-09,016452,buy,99.88 ,47.66 ,0.12 ,2.0956,2025-12-05,南方纳斯达克100指数(QDII)A
2025-12-10,016452,buy,49.49 ,23.88 ,0.06 ,2.0910,2025-12-08,南方纳斯达克100指数(QDII)A
2025-12-11,016452,buy,49.49 ,23.84 ,0.06 ,2.0944,2025-12-09,南方纳斯达克100指数(QDII)A
2025-12-12,016452,buy,49.49 ,23.76 ,0.06 ,2.1021,2025-12-10,南方纳斯达克100指数(QDII)A
2025-12-15,016452,buy,49.49 ,23.86 ,0.06 ,2.0932,2025-12-11,南方纳斯达克100指数(QDII)A
2025-12-16,016452,buy,49.49 ,24.32 ,0.06 ,2.0538,2025-12-12,南方纳斯达克100指数(QDII)A
2025-11-07,018043,buy,9.99 ,5.37 ,0.01 ,1.8592,2025-11-05,天弘纳斯达克100指数(QDII)A
2025-11-10,018043,buy,19.98 ,10.95 ,0.02 ,1.8246,2025-11-06,天弘纳斯达克100指数(QDII)A
2025-11-11,018043,buy,19.98 ,10.98 ,0.02 ,1.8190,2025-11-07,天弘纳斯达克100指数(QDII)A
2025-11-12,018043,buy,19.98 ,10.76 ,0.02 ,1.8576,2025-11-10,天弘纳斯达克100指数(QDII)A
2025-11-13,018043,buy,19.98 ,10.79 ,0.02 ,1.8524,2025-11-11,天弘纳斯达克100指数(QDII)A
2025-11-14,018043,buy,19.98 ,10.80 ,0.02 ,1.8505,2025-11-12,天弘纳斯达克100指数(QDII)A
2025-11-17,018043,buy,19.98 ,11.01 ,0.02 ,1.8152,2025-11-13,天弘纳斯达克100指数(QDII)A
2025-11-18,018043,buy,19.98 ,11.01 ,0.02 ,1.8155,2025-11-14,天弘纳斯达克100指数(QDII)A
2025-11-19,018043,buy,19.98 ,11.10 ,0.02 ,1.8008,2025-11-17,天弘纳斯达克100指数(QDII)A
2025-11-20,018043,buy,19.98 ,11.22 ,0.02 ,1.7812,2025-11-18,天弘纳斯达克100指数(QDII)A
2025-11-21,018043,buy,19.98 ,11.16 ,0.02 ,1.7910,2025-11-19,天弘纳斯达克100指数(QDII)A
2025-11-24,018043,buy,19.98 ,11.41 ,0.02 ,1.7515,2025-11-20,天弘纳斯达克100指数(QDII)A
2025-11-25,018043,buy,49.95 ,28.32 ,0.05 ,1.7636,2025-11-21,天弘纳斯达克100指数(QDII)A
2025-11-26,018043,buy,49.95 ,27.65 ,0.05 ,1.8068,2025-11-24,天弘纳斯达克100指数(QDII)A
2025-11-27,018043,buy,49.95 ,27.50 ,0.05 ,1.8162,2025-11-25,天弘纳斯达克100指数(QDII)A
2025-11-28,018043,buy,49.95 ,27.29 ,0.05 ,1.8306,2025-11-26,天弘纳斯达克100指数(QDII)A
2025-12-02,018043,buy,49.95 ,27.09 ,0.05 ,1.8302,2025-11-27,天弘纳斯达克100指数(QDII)A
2025-12-03,018043,buy,49.95 ,27.19 ,0.05 ,1.8368,2025-12-01,天弘纳斯达克100指数(QDII)A
2025-12-04,018043,buy,49.95 ,26.97 ,0.05 ,1.8522,2025-12-02,天弘纳斯达克100指数(QDII)A
2025-12-05,018043,buy,49.95 ,26.93 ,0.05 ,1.8548,2025-12-03,天弘纳斯达克100指数(QDII)A
2025-12-08,018043,buy,49.95 ,26.96 ,0.05 ,1.8526,2025-12-04,天弘纳斯达克100指数(QDII)A
2025-12-09,018043,buy,49.95 ,26.84 ,0.05 ,1.8607,2025-12-05,天弘纳斯达克100指数(QDII)A
2025-12-10,018043,buy,49.95 ,26.90 ,0.05 ,1.8566,2025-12-08,天弘纳斯达克100指数(QDII)A
2025-12-11,018043,buy,49.95 ,26.86 ,0.05 ,1.8596,2025-12-09,天弘纳斯达克100指数(QDII)A
2025-12-12,018043,buy,49.95 ,26.76 ,0.05 ,1.8665,2025-12-10,天弘纳斯达克100指数(QDII)A
2025-12-15,018043,buy,49.95 ,26.87 ,0.05 ,1.8588,2025-12-11,天弘纳斯达克100指数(QDII)A
2025-12-16,018043,buy,49.95 ,27.38 ,0.05 ,1.8240,2025-12-12,天弘纳斯达克100指数(QDII)A
2025-10-15,015299,buy,499.40 ,276.88 ,0.60 ,1.8037,2025-10-13,华夏纳斯达克100ETF联接(QDII)A
2025-10-22,015299,buy,29.96 ,16.39 ,0.04 ,1.8279,2025-10-20,华夏纳斯达克100ETF联接(QDII)A
2025-10-23,015299,buy,29.96 ,16.41 ,0.04 ,1.8257,2025-10-21,华夏纳斯达克100ETF联接(QDII)A
2025-10-24,015299,buy,29.96 ,16.55 ,0.04 ,1.8099,2025-10-22,华夏纳斯达克100ETF联接(QDII)A
2025-10-27,015299,buy,29.96 ,16.42 ,0.04 ,1.8247,2025-10-23,华夏纳斯达克100ETF联接(QDII)A
2025-10-28,015299,buy,29.96 ,16.26 ,0.04 ,1.8425,2025-10-24,华夏纳斯达克100ETF联接(QDII)A
2025-10-29,015299,buy,29.96 ,16.01 ,0.04 ,1.8714,2025-10-27,华夏纳斯达克100ETF联接(QDII)A
2025-10-30,015299,buy,29.96 ,15.92 ,0.04 ,1.8821,2025-10-28,华夏纳斯达克100ETF联接(QDII)A
2025-10-31,015299,buy,29.96 ,15.86 ,0.04 ,1.8891,2025-10-29,华夏纳斯达克100ETF联接(QDII)A
2025-11-03,015299,buy,29.96 ,16.06 ,0.04 ,1.8650,2025-10-30,华夏纳斯达克100ETF联接(QDII)A
2025-11-04,015299,buy,29.96 ,15.98 ,0.04 ,1.8751,2025-10-31,华夏纳斯达克100ETF联接(QDII)A
2025-11-05,015299,buy,29.96 ,15.91 ,0.04 ,1.8836,2025-11-03,华夏纳斯达克100ETF联接(QDII)A
2025-11-06,015299,buy,29.96 ,16.21 ,0.04 ,1.8485,2025-11-04,华夏纳斯达克100ETF联接(QDII)A
2025-11-07,015299,buy,29.96 ,16.09 ,0.04 ,1.8616,2025-11-05,华夏纳斯达克100ETF联接(QDII)A
2025-11-10,015299,buy,29.96 ,16.40 ,0.04 ,1.8266,2025-11-06,华夏纳斯达克100ETF联接(QDII)A
2025-11-11,015299,buy,29.96 ,16.45 ,0.04 ,1.8217,2025-11-07,华夏纳斯达克100ETF联接(QDII)A
2025-11-12,015299,buy,29.96 ,16.12 ,0.04 ,1.8587,2025-11-10,华夏纳斯达克100ETF联接(QDII)A
2025-11-13,015299,buy,29.96 ,16.16 ,0.04 ,1.8535,2025-11-11,华夏纳斯达克100ETF联接(QDII)A
2025-11-14,015299,buy,29.96 ,16.18 ,0.04 ,1.8515,2025-11-12,华夏纳斯达克100ETF联接(QDII)A
2025-11-17,015299,buy,29.96 ,16.55 ,0.04 ,1.8101,2025-11-13,华夏纳斯达克100ETF联接(QDII)A
2025-11-18,015299,buy,29.96 ,16.54 ,0.04 ,1.8118,2025-11-14,华夏纳斯达克100ETF联接(QDII)A
2025-11-19,015299,buy,29.96 ,16.66 ,0.04 ,1.7987,2025-11-17,华夏纳斯达克100ETF联接(QDII)A
2025-11-20,015299,buy,29.96 ,16.83 ,0.04 ,1.7801,2025-11-18,华夏纳斯达克100ETF联接(QDII)A
2025-11-21,015299,buy,29.96 ,16.75 ,0.04 ,1.7886,2025-11-19,华夏纳斯达克100ETF联接(QDII)A
2025-11-24,015299,buy,29.96 ,17.12 ,0.04 ,1.7499,2025-11-20,华夏纳斯达克100ETF联接(QDII)A
2025-11-25,015299,buy,29.96 ,17.00 ,0.04 ,1.7619,2025-11-21,华夏纳斯达克100ETF联接(QDII)A
2025-12-17,018043,buy,49.95 ,27.51 ,0.05 ,1.8155,2025-12-15,天弘纳斯达克100指数(QDII)A
2025-12-17,019172,buy,99.88 ,63.75 ,0.12 ,1.5667 ,2025-12-15,摩根纳斯达克100指数(QDII)A
2025-12-17,017641,buy,99.88 ,63.58 ,0.12 ,1.5709 ,2025-12-15,摩根标普500指数(QDII)A
2025-12-17,016452,buy,49.94 ,24.43 ,0.06 ,2.0444 ,2025-12-15,南方纳斯达克100指数(QDII)A
2025-12-17,161125,buy,9.99 ,3.42 ,0.01 ,2.9205 ,2025-12-15,易方达标普500指数(QDII-LOF)A
2025-12-17,161130,buy,9.99 ,2.53 ,0.01 ,3.9484 ,2025-12-15,易方达纳斯达克100ETF联接(QDII-LOF)A
2025-12-17,FBAE41126E,buy,11309.00 ,10863.95 ,0.00 ,1.0410 ,2025-12-16,民生理财贵竹固收增利周周盈7天持有期26号理财产品E
2025-12-18,018043,buy,49.95 ,27.47 ,0.05 ,1.8186,2025-12-16,天弘纳斯达克100指数(QDII)A
2025-12-18,019172,buy,99.88 ,63.66 ,0.12 ,1.5690 ,2025-12-16,摩根纳斯达克100指数(QDII)A
2025-12-18,017641,buy,99.88 ,63.74 ,0.12 ,1.5670 ,2025-12-16,摩根标普500指数(QDII)A
2025-12-18,016452,buy,49.94 ,24.38 ,0.06 ,2.0481 ,2025-12-16,南方纳斯达克100指数(QDII)A
2025-12-18,161125,buy,9.99 ,3.43 ,0.01 ,2.9118 ,2025-12-16,易方达标普500指数(QDII-LOF)A
2025-12-18,161130,buy,9.99 ,2.53 ,0.01 ,3.9548 ,2025-12-16,易方达纳斯达克100ETF联接(QDII-LOF)A
